timestamp,edges_detected,bbox_center_x,bbox_width,bbox_height,frame_center,error_px,error_percent,robot_action,motor_speed,frame_number
2026-02-03 11:42:36.242,NONE,362.00,260.00,264.00,320.00,42.00,6.56,STOP,0.00,102
2026-02-03 11:42:37.038,NONE,362.00,280.00,274.00,320.00,42.00,6.56,STOP,0.00,107
2026-02-03 11:42:37.842,NONE,370.50,303.00,299.00,320.00,50.50,7.89,STOP,0.00,112
2026-02-03 11:42:38.645,NONE,303.50,243.00,345.00,320.00,16.50,2.58,STOP,0.00,117
2026-02-03 11:42:39.435,NONE,307.50,283.00,360.00,320.00,12.50,1.95,STOP,0.00,122
2026-02-03 11:42:40.245,NONE,338.00,276.00,413.00,320.00,18.00,2.81,STOP,0.00,127
2026-02-03 11:42:41.043,NONE,353.00,274.00,353.00,320.00,33.00,5.16,STOP,0.00,132
2026-02-03 11:42:41.846,NONE,375.50,323.00,322.00,320.00,55.50,8.67,STOP,0.00,137
2026-02-03 11:42:42.653,NONE,375.50,323.00,322.00,320.00,55.50,8.67,STOP,0.00,142
2026-02-03 11:42:43.466,NONE,375.50,323.00,322.00,320.00,55.50,8.67,STOP,0.00,147
2026-02-03 11:42:44.398,NONE,243.50,217.00,259.00,320.00,76.50,11.95,STOP,0.00,152
2026-02-03 11:42:45.201,NONE,251.50,235.00,235.00,320.00,68.50,10.70,STOP,0.00,157
2026-02-03 11:42:45.986,NONE,270.50,259.00,260.00,320.00,49.50,7.73,STOP,0.00,162
2026-02-03 11:42:46.790,NONE,259.50,257.00,251.00,320.00,60.50,9.45,STOP,0.00,167
2026-02-03 11:42:47.598,NONE,354.50,257.00,290.00,320.00,34.50,5.39,STOP,0.00,172
2026-02-03 11:42:48.400,NONE,334.50,293.00,228.00,320.00,14.50,2.27,STOP,0.00,177
2026-02-03 11:51:02.988,RIGHT,412.50,305.00,336.00,320.00,92.50,14.45,TURN_RIGHT,0.30,3217
2026-02-03 11:51:04.165,RIGHT,410.00,312.00,363.00,320.00,90.00,14.06,TURN_RIGHT,0.30,3222
2026-02-03 11:51:05.324,NONE,407.00,288.00,465.00,320.00,87.00,13.59,STOP,0.00,3227
2026-02-03 11:51:06.130,NONE,410.00,296.00,460.00,320.00,90.00,14.06,STOP,0.00,3232
2026-02-03 11:51:06.940,NONE,402.50,279.00,464.00,320.00,82.50,12.89,STOP,0.00,3237
2026-02-03 11:51:07.728,NONE,396.00,258.00,332.00,320.00,76.00,11.88,STOP,0.00,3242
2026-02-03 11:51:08.531,NONE,327.50,285.00,337.00,320.00,7.50,1.17,STOP,0.00,3247
2026-02-03 11:51:09.329,NONE,339.00,270.00,345.00,320.00,19.00,2.97,STOP,0.00,3252
2026-02-03 11:51:10.120,NONE,342.00,256.00,340.00,320.00,22.00,3.44,STOP,0.00,3257
2026-02-03 11:51:10.915,NONE,347.00,272.00,348.00,320.00,27.00,4.22,STOP,0.00,3262
2026-02-03 11:51:11.709,NONE,349.50,275.00,348.00,320.00,29.50,4.61,STOP,0.00,3267
2026-02-03 11:51:12.510,NONE,349.50,271.00,350.00,320.00,29.50,4.61,STOP,0.00,3272
