timestamp,fps,frame_time_ms,state,cap_read_ms,process_state_ms,draw_ui_ms,imshow_ms,memory_mb
2026-02-03 13:19:56.747,0.88,1130.43,READY,449.41,259.92,110.92,307.18,222.16
2026-02-03 13:19:56.970,6.05,165.16,READY,3.90,0.79,155.25,0.79,225.40
2026-02-03 13:19:57.127,7.41,134.95,READY,1.52,1.70,126.89,0.56,226.31
2026-02-03 13:19:57.260,7.94,126.00,READY,1.77,0.94,119.79,0.57,226.43
2026-02-03 13:19:57.387,8.19,122.15,READY,2.81,1.19,113.43,0.65,226.43
2026-02-03 13:19:57.621,4.36,229.57,READY,4.56,112.89,108.09,0.60,228.31
2026-02-03 13:19:57.753,7.82,127.88,READY,1.83,0.79,122.47,0.72,228.31
2026-02-03 13:19:57.886,7.97,125.53,READY,3.96,0.85,117.65,0.57,228.43
2026-02-03 13:19:58.010,8.42,118.77,READY,2.84,1.63,111.09,0.63,228.43
2026-02-03 13:19:58.131,8.61,116.18,READY,2.80,1.62,108.67,0.64,228.43
2026-02-03 13:19:58.355,4.55,219.60,READY,2.71,109.49,104.58,0.62,228.56
2026-02-03 13:19:58.493,7.73,129.40,READY,3.04,1.83,120.38,0.60,228.56
2026-02-03 13:19:58.624,7.93,126.14,READY,3.77,2.45,115.53,0.62,228.56
2026-02-03 13:19:58.746,8.55,116.97,READY,2.45,1.66,109.61,0.58,228.56
2026-02-03 13:19:58.867,8.58,116.61,READY,2.60,1.58,108.75,0.63,228.56
2026-02-03 13:19:59.096,4.47,223.49,READY,2.64,112.87,104.29,0.63,228.56
2026-02-03 13:19:59.233,7.68,130.17,READY,3.43,2.02,120.44,0.58,228.56
2026-02-03 13:19:59.366,7.85,127.36,READY,3.82,1.82,117.75,0.62,228.56
2026-02-03 13:19:59.486,8.67,115.30,READY,1.69,1.31,109.01,0.58,228.56
2026-02-03 13:19:59.606,8.63,115.82,READY,2.53,1.67,108.35,0.71,228.56
2026-02-03 13:19:59.832,4.52,221.03,READY,2.50,111.64,103.88,0.59,228.56
2026-02-03 13:19:59.966,7.98,125.36,READY,3.29,1.82,115.95,0.60,228.56
2026-02-03 13:20:00.087,8.60,116.22,READY,1.27,0.61,109.99,0.62,228.56
2026-02-03 13:20:00.207,8.68,115.25,READY,2.58,0.77,108.87,0.61,228.56
2026-02-03 13:20:00.326,8.77,114.05,READY,1.62,0.56,107.46,0.63,228.56
2026-02-03 13:20:00.551,4.55,219.92,READY,2.08,110.75,103.73,0.65,228.56
2026-02-03 13:20:00.686,7.82,127.90,READY,3.06,1.58,119.14,0.69,228.56
2026-02-03 13:20:00.809,8.51,117.49,READY,2.13,0.83,110.97,0.58,228.56
2026-02-03 13:20:00.932,8.44,118.51,READY,2.61,1.53,111.06,0.61,228.56
2026-02-03 13:20:01.052,8.73,114.50,READY,2.62,1.00,108.16,0.60,228.56
2026-02-03 13:20:01.287,4.34,230.39,READY,8.65,112.48,105.52,0.58,229.43
2026-02-03 13:20:01.414,8.18,122.32,READY,2.66,1.16,115.31,0.55,229.43
2026-02-03 13:20:01.537,8.44,118.43,READY,2.63,1.55,110.49,0.59,229.43
2026-02-03 13:20:01.658,8.64,115.74,READY,1.68,1.50,108.85,0.58,229.43
2026-02-03 13:20:01.780,8.52,117.31,READY,2.87,1.25,109.02,0.62,229.43
2026-02-03 13:20:02.118,3.00,332.83,READY,11.28,213.80,104.35,0.57,230.93
2026-02-03 13:20:02.247,8.04,124.35,READY,3.12,1.48,115.83,0.60,230.93
2026-02-03 13:20:02.367,8.74,114.37,READY,2.38,0.71,108.09,0.67,230.93
2026-02-03 13:20:02.486,8.75,114.25,READY,2.80,0.76,108.04,0.60,230.93
