timestamp,edges_detected,bbox_center_x,bbox_width,bbox_height,frame_center,error_px,error_percent,robot_action,motor_speed,frame_number
2026-02-03 13:20:14.119,RIGHT,497.50,265.00,479.00,320.00,177.50,27.73,TURN_RIGHT,0.30,107
2026-02-03 13:20:15.260,RIGHT,471.00,272.00,347.00,320.00,151.00,23.59,TURN_RIGHT,0.30,112
2026-02-03 13:20:16.371,RIGHT,477.00,308.00,368.00,320.00,157.00,24.53,TURN_RIGHT,0.30,117
2026-02-03 13:20:17.464,RIGHT,498.50,345.00,383.00,320.00,178.50,27.89,TURN_RIGHT,0.30,122
2026-02-03 13:20:18.562,RIGHT,496.00,326.00,378.00,320.00,176.00,27.50,TURN_RIGHT,0.30,127
2026-02-03 13:20:19.660,RIGHT,495.00,316.00,369.00,320.00,175.00,27.34,TURN_RIGHT,0.30,132
2026-02-03 13:20:20.783,RIGHT,471.50,267.00,389.00,320.00,151.50,23.67,TURN_RIGHT,0.30,137
2026-02-03 13:20:21.885,RIGHT,492.50,229.00,226.00,320.00,172.50,26.95,TURN_RIGHT,0.30,142
2026-02-03 13:20:22.992,"FAR,LEFT",145.50,147.00,197.00,320.00,174.50,27.27,TURN_LEFT,0.30,147
2026-02-03 13:20:23.987,"FAR,LEFT",158.50,175.00,196.00,320.00,161.50,25.23,TURN_LEFT,0.30,152
2026-02-03 13:20:24.990,FAR,246.50,181.00,179.00,320.00,73.50,11.48,FORWARD,0.30,157
2026-02-03 13:20:25.692,FAR,263.00,186.00,178.00,320.00,57.00,8.91,FORWARD,0.30,162
2026-02-03 13:20:26.395,FAR,276.50,185.00,185.00,320.00,43.50,6.80,FORWARD,0.30,167
2026-02-03 13:20:27.119,FAR,286.50,177.00,191.00,320.00,33.50,5.23,FORWARD,0.30,172
2026-02-03 13:20:27.814,FAR,345.00,174.00,192.00,320.00,25.00,3.91,FORWARD,0.30,177
2026-02-03 13:20:28.518,FAR,401.00,182.00,194.00,320.00,81.00,12.66,FORWARD,0.30,182
