timestamp,edges_detected,bbox_center_x,bbox_width,bbox_height,frame_center,error_px,error_percent,robot_action,motor_speed,frame_number
2026-02-03 13:23:14.773,NONE,404.50,275.00,415.00,320.00,84.50,13.20,STOP,0.00,172
2026-02-03 13:23:15.531,NONE,404.00,270.00,430.00,320.00,84.00,13.12,STOP,0.00,177
2026-02-03 13:23:16.301,NONE,409.00,252.00,346.00,320.00,89.00,13.91,STOP,0.00,182
2026-02-03 13:23:17.061,NONE,403.50,269.00,343.00,320.00,83.50,13.05,STOP,0.00,187
2026-02-03 13:23:17.810,NONE,408.50,255.00,337.00,320.00,88.50,13.83,STOP,0.00,192
2026-02-03 13:23:18.576,RIGHT,548.00,240.00,316.00,320.00,228.00,35.62,TURN_RIGHT,0.40,197
2026-02-03 13:23:19.681,NONE,329.50,345.00,311.00,320.00,9.50,1.48,STOP,0.00,202
2026-02-03 13:23:20.428,NONE,300.50,419.00,341.00,320.00,19.50,3.05,STOP,0.00,207
2026-02-03 13:23:21.192,LEFT,168.00,248.00,340.00,320.00,152.00,23.75,TURN_LEFT,0.40,212
2026-02-03 13:23:22.198,NONE,354.00,216.00,321.00,320.00,34.00,5.31,STOP,0.00,217
2026-02-03 13:23:22.965,RIGHT,555.00,198.00,338.00,320.00,235.00,36.72,TURN_RIGHT,0.40,222
2026-02-03 13:23:24.073,NONE,363.00,248.00,315.00,320.00,43.00,6.72,STOP,0.00,227
2026-02-03 13:23:24.852,NONE,248.00,232.00,285.00,320.00,72.00,11.25,STOP,0.00,232
2026-02-03 13:23:25.611,NONE,216.00,240.00,286.00,320.00,104.00,16.25,STOP,0.00,237
2026-02-03 13:23:26.405,NONE,213.50,233.00,278.00,320.00,106.50,16.64,STOP,0.00,242
2026-02-03 13:23:27.172,NONE,216.00,226.00,261.00,320.00,104.00,16.25,STOP,0.00,247
2026-02-03 13:45:32.332,NONE,216.00,226.00,261.00,320.00,104.00,16.25,STOP,0.00,9417
2026-02-03 13:45:33.272,NONE,348.00,308.00,388.00,320.00,28.00,4.38,STOP,0.00,9422
2026-02-03 13:45:34.032,NONE,338.00,230.00,252.00,320.00,18.00,2.81,STOP,0.00,9427
2026-02-03 13:45:34.796,NONE,348.00,210.00,276.00,320.00,28.00,4.38,STOP,0.00,9432
2026-02-03 13:45:35.563,FAR,353.00,178.00,203.00,320.00,33.00,5.16,FORWARD,0.40,9437
2026-02-03 13:45:36.255,NONE,323.50,279.00,262.00,320.00,3.50,0.55,STOP,0.00,9442
2026-02-03 13:45:37.006,NONE,353.00,342.00,291.00,320.00,33.00,5.16,STOP,0.00,9447
2026-02-03 13:45:37.758,NONE,376.50,333.00,272.00,320.00,56.50,8.83,STOP,0.00,9452
2026-02-03 13:45:38.520,NONE,385.00,334.00,264.00,320.00,65.00,10.16,STOP,0.00,9457
2026-02-03 13:45:39.273,NONE,382.50,321.00,258.00,320.00,62.50,9.77,STOP,0.00,9462
2026-02-03 13:45:40.011,NONE,380.50,317.00,259.00,320.00,60.50,9.45,STOP,0.00,9467
2026-02-03 13:45:40.765,NONE,380.50,315.00,261.00,320.00,60.50,9.45,STOP,0.00,9472
2026-02-03 13:45:41.516,NONE,382.50,315.00,261.00,320.00,62.50,9.77,STOP,0.00,9477
2026-02-03 13:45:42.267,NONE,383.00,314.00,260.00,320.00,63.00,9.84,STOP,0.00,9482
2026-02-03 13:45:43.022,NONE,384.00,312.00,259.00,320.00,64.00,10.00,STOP,0.00,9487
2026-02-03 13:45:43.781,NONE,384.00,310.00,258.00,320.00,64.00,10.00,STOP,0.00,9492
