timestamp,fps,frame_time_ms,state,cap_read_ms,process_state_ms,draw_ui_ms,imshow_ms,memory_mb
2026-02-03 13:22:47.809,0.87,1144.42,READY,449.51,267.89,115.55,308.61,221.89
2026-02-03 13:22:47.992,6.32,158.22,READY,2.36,0.63,151.47,0.91,224.77
2026-02-03 13:22:48.157,7.00,142.84,READY,4.40,0.95,128.05,0.57,225.38
2026-02-03 13:22:48.288,8.45,118.35,READY,2.70,1.10,110.91,0.61,226.16
2026-02-03 13:22:48.418,8.16,122.54,READY,1.57,2.03,113.27,0.61,226.41
2026-02-03 13:22:48.646,4.48,223.21,READY,2.86,111.46,104.41,0.58,227.79
2026-02-03 13:22:48.787,7.56,132.36,READY,2.96,1.71,123.42,0.67,228.00
2026-02-03 13:22:48.912,8.25,121.22,READY,3.01,1.76,112.60,0.59,228.00
2026-02-03 13:22:49.038,8.24,121.40,READY,2.80,1.35,113.24,0.75,228.00
2026-02-03 13:22:49.160,8.53,117.25,READY,2.62,1.53,109.11,0.62,228.00
2026-02-03 13:22:49.394,4.38,228.43,READY,2.71,111.88,109.88,0.84,229.75
2026-02-03 13:22:49.522,8.13,123.06,READY,2.65,1.34,115.12,0.58,229.75
2026-02-03 13:22:49.645,8.43,118.60,READY,2.90,1.45,110.65,0.59,229.75
2026-02-03 13:22:49.766,8.62,116.07,READY,2.58,1.70,108.04,0.66,229.75
2026-02-03 13:22:49.891,8.36,119.62,READY,5.65,1.75,108.19,0.61,229.75
2026-02-03 13:22:50.125,4.35,229.64,READY,2.72,118.59,104.74,0.58,231.38
2026-02-03 13:22:50.258,8.01,124.84,READY,4.23,1.95,114.56,0.58,231.38
2026-02-03 13:22:50.378,8.70,114.94,READY,2.48,0.76,108.77,0.62,231.38
2026-02-03 13:22:50.496,8.78,113.83,READY,2.61,0.93,107.59,0.57,231.38
2026-02-03 13:22:50.622,8.32,120.21,READY,11.02,1.13,104.67,0.59,231.38
2026-02-03 13:22:50.867,4.16,240.19,READY,16.94,108.85,111.64,0.69,231.41
2026-02-03 13:22:51.001,7.93,126.04,READY,2.93,2.12,116.39,0.59,231.41
2026-02-03 13:22:51.122,8.57,116.72,READY,2.60,0.77,110.48,0.61,231.41
2026-02-03 13:22:51.245,8.51,117.51,READY,2.63,1.43,109.67,0.61,231.41
2026-02-03 13:22:51.368,8.42,118.80,READY,2.16,1.78,111.19,0.60,231.41
2026-02-03 13:22:51.599,4.44,225.20,READY,4.09,112.68,104.78,0.63,231.41
2026-02-03 13:22:51.732,8.00,125.04,READY,2.90,2.06,116.38,0.57,231.41
2026-02-03 13:22:51.851,8.75,114.23,READY,2.56,0.69,108.40,0.61,231.41
2026-02-03 13:22:51.971,8.66,115.52,READY,1.74,1.36,109.16,0.59,231.41
2026-02-03 13:22:52.092,8.58,116.50,READY,2.63,1.20,110.11,0.57,231.41
2026-02-03 13:22:52.328,4.33,230.96,READY,2.54,112.58,111.74,0.59,231.41
2026-02-03 13:22:52.462,7.96,125.66,READY,3.35,1.95,116.27,0.61,231.41
2026-02-03 13:22:52.582,8.73,114.49,READY,2.35,0.73,108.34,0.60,231.41
2026-02-03 13:22:52.706,8.40,119.10,READY,1.68,1.23,112.89,0.62,231.41
2026-02-03 13:22:52.828,8.48,117.86,READY,2.50,1.76,109.96,0.62,231.41
2026-02-03 13:22:53.077,4.10,243.86,READY,11.41,120.05,108.79,0.58,231.91
2026-02-03 13:22:53.215,7.69,129.96,READY,4.15,1.56,118.44,0.61,231.91
2026-02-03 13:22:53.336,8.61,116.21,READY,2.68,1.23,109.11,0.59,231.91
2026-02-03 13:22:53.458,8.50,117.61,READY,2.73,1.59,109.18,0.63,231.91
2026-02-03 13:22:53.581,8.47,118.04,READY,2.61,1.44,110.10,0.58,231.91
2026-02-03 13:22:53.809,4.49,222.71,READY,2.42,110.28,107.08,0.57,231.91
2026-02-03 13:22:53.936,8.41,118.96,READY,2.62,1.52,111.99,0.61,231.91
2026-02-03 13:22:54.065,8.12,123.14,READY,2.92,1.76,114.43,0.57,231.91
2026-02-03 13:22:54.189,8.42,118.74,READY,4.39,1.85,108.83,0.62,231.91
2026-02-03 13:22:54.313,8.34,119.85,READY,5.22,1.82,109.03,0.57,231.91
2026-02-03 13:22:54.540,4.51,221.59,READY,3.16,111.96,103.68,0.59,231.91
2026-02-03 13:22:54.663,8.47,118.13,READY,2.61,1.65,110.22,0.57,231.91
2026-02-03 13:22:54.798,7.71,129.73,READY,3.96,1.45,120.73,0.59,231.91
2026-02-03 13:22:54.921,8.46,118.25,READY,2.53,0.72,112.02,0.60,231.91
2026-02-03 13:22:55.048,8.20,121.89,READY,2.70,2.78,112.08,0.83,231.91
2026-02-03 13:22:55.281,4.39,227.98,READY,2.61,117.99,104.71,0.57,231.91
2026-02-03 13:22:55.414,7.95,125.83,READY,3.48,1.90,116.35,0.63,231.91
2026-02-03 13:22:55.534,8.71,114.78,READY,2.14,0.62,108.77,0.63,231.91
2026-02-03 13:22:55.656,8.53,117.17,READY,2.52,0.76,109.16,2.56,231.91
2026-02-03 13:22:55.777,8.64,115.79,READY,2.57,0.63,109.89,0.60,231.91
2026-02-03 13:22:56.012,4.35,230.04,READY,2.46,119.05,105.57,0.58,231.91
