timestamp,fps,frame_time_ms,state,cap_read_ms,process_state_ms,draw_ui_ms,imshow_ms,memory_mb
2026-02-03 11:39:13.498,0.91,1099.46,READY,446.12,265.54,68.23,316.70,222.89
2026-02-03 11:39:13.653,8.71,114.76,READY,3.21,0.98,107.06,0.61,226.01
2026-02-03 11:39:13.762,10.10,98.97,READY,3.66,2.06,87.55,0.54,226.92
2026-02-03 11:39:13.863,11.26,88.81,READY,3.54,0.54,80.91,0.68,226.96
2026-02-03 11:39:13.977,9.20,108.67,READY,36.93,0.81,67.81,0.56,226.96
2026-02-03 11:39:14.169,5.36,186.50,READY,2.87,120.75,58.60,0.56,227.21
2026-02-03 11:39:14.261,11.80,84.71,READY,4.19,1.82,73.64,0.68,227.46
2026-02-03 11:39:14.382,8.57,116.67,READY,42.10,1.64,68.27,0.61,227.43
2026-02-03 11:39:14.462,13.55,73.81,READY,2.98,1.81,64.01,0.67,227.67
2026-02-03 11:39:14.576,9.18,108.94,READY,38.35,1.62,64.90,0.58,227.80
2026-02-03 11:39:14.766,5.42,184.46,READY,1.68,119.30,59.33,0.60,227.80
2026-02-03 11:39:14.871,10.19,98.15,READY,3.79,2.50,87.57,0.57,227.80
2026-02-03 11:39:14.964,11.57,86.42,READY,4.10,0.80,77.37,0.67,227.78
2026-02-03 11:39:15.049,12.95,77.24,READY,4.32,1.37,67.55,0.68,227.90
2026-02-03 11:39:15.145,11.50,86.92,READY,4.37,1.12,76.83,1.16,227.90
2026-02-03 11:39:15.354,4.92,203.10,READY,24.07,115.85,59.38,0.58,228.53
2026-02-03 11:39:15.448,11.64,85.89,READY,3.55,1.77,76.12,0.74,228.43
2026-02-03 11:39:15.541,11.53,86.70,READY,1.69,1.34,77.58,0.63,228.55
2026-02-03 11:39:15.658,9.74,102.62,READY,21.07,0.62,75.39,2.06,228.53
2026-02-03 11:39:15.743,13.06,76.58,READY,2.21,0.62,69.17,0.97,228.53
2026-02-03 11:39:15.997,4.06,246.01,READY,23.34,135.46,82.88,1.68,229.90
2026-02-03 11:39:16.101,11.05,90.51,READY,4.10,1.76,79.20,1.58,229.90
2026-02-03 11:39:16.184,13.37,74.77,READY,2.31,0.62,69.16,0.65,229.90
2026-02-03 11:39:16.333,6.96,143.69,READY,52.47,1.51,84.34,1.15,229.90
2026-02-03 11:39:16.444,9.63,103.88,READY,34.78,0.59,65.88,0.66,229.90
2026-02-03 11:39:16.636,5.34,187.26,READY,2.50,120.78,61.25,0.54,230.03
2026-02-03 11:39:16.731,12.06,82.93,READY,5.19,1.13,72.60,0.65,230.05
2026-02-03 11:39:16.858,8.33,120.11,READY,36.03,0.63,79.99,0.64,230.05
2026-02-03 11:39:16.936,13.79,72.50,READY,2.80,1.22,65.52,0.62,230.05
2026-02-03 11:39:17.048,9.38,106.62,READY,33.35,1.21,68.04,0.61,230.05
2026-02-03 11:39:17.242,5.30,188.76,READY,3.03,123.29,58.45,0.59,230.05
2026-02-03 11:39:17.325,13.06,76.56,READY,2.12,1.65,68.76,0.65,230.05
2026-02-03 11:39:17.443,8.88,112.62,READY,46.55,1.12,61.83,0.54,230.05
2026-02-03 11:39:17.519,14.06,71.11,READY,2.86,1.69,62.99,0.57,230.05
2026-02-03 11:39:17.644,8.28,120.77,READY,50.09,0.62,67.44,0.58,230.05
2026-02-03 11:39:17.832,5.49,182.31,READY,2.75,116.36,60.60,0.61,230.05
2026-02-03 11:39:17.941,9.52,105.02,READY,2.07,0.59,92.12,8.16,230.11
2026-02-03 11:39:18.078,8.97,111.51,READY,4.18,0.58,103.92,0.55,230.07
