timestamp,edges_detected,bbox_center_x,bbox_width,bbox_height,frame_center,error_px,error_percent,robot_action,motor_speed,frame_number
2026-02-03 12:17:57.030,LEFT,190.00,292.00,441.00,320.00,130.00,20.31,TURN_LEFT,0.30,422
2026-02-03 12:17:58.029,LEFT,239.00,424.00,418.00,320.00,81.00,12.66,TURN_LEFT,0.30,427
2026-02-03 12:17:59.038,NONE,386.50,319.00,480.00,320.00,66.50,10.39,STOP,0.00,432
2026-02-03 12:17:59.824,NONE,407.50,287.00,329.00,320.00,87.50,13.67,STOP,0.00,437
2026-02-03 12:18:00.573,RIGHT,419.00,284.00,328.00,320.00,99.00,15.47,TURN_RIGHT,0.30,442
2026-02-03 12:18:01.728,NONE,388.50,283.00,322.00,320.00,68.50,10.70,STOP,0.00,447
2026-02-03 12:18:02.517,NONE,381.00,284.00,327.00,320.00,61.00,9.53,STOP,0.00,452
2026-02-03 12:18:03.297,NONE,387.00,286.00,328.00,320.00,67.00,10.47,STOP,0.00,457
2026-02-03 12:18:04.077,NONE,371.00,212.00,321.00,320.00,51.00,7.97,STOP,0.00,462
2026-02-03 12:18:04.864,NONE,366.50,205.00,262.00,320.00,46.50,7.27,STOP,0.00,467
2026-02-03 12:18:05.655,FAR,340.50,189.00,256.00,320.00,20.50,3.20,FORWARD,0.30,472
2026-02-03 12:18:06.370,FAR,356.50,187.00,253.00,320.00,36.50,5.70,FORWARD,0.30,477
2026-02-03 12:18:07.088,FAR,370.00,184.00,252.00,320.00,50.00,7.81,FORWARD,0.30,482
2026-02-03 12:18:07.802,FAR,392.00,190.00,256.00,320.00,72.00,11.25,FORWARD,0.30,487
2026-02-03 12:18:08.476,NONE,407.50,195.00,263.00,320.00,87.50,13.67,STOP,0.00,492
2026-02-03 12:18:09.217,NONE,417.00,192.00,268.00,320.00,97.00,15.16,STOP,0.00,497
2026-02-03 12:20:13.797,RIGHT,582.50,229.00,432.00,320.00,262.50,41.02,TURN_RIGHT,0.30,1170
2026-02-03 12:20:14.930,RIGHT,651.00,202.00,382.00,320.00,331.00,51.72,TURN_RIGHT,0.30,1175
2026-02-03 12:20:16.039,RIGHT,668.50,207.00,394.00,320.00,348.50,54.45,TURN_RIGHT,0.30,1180
2026-02-03 12:20:17.147,RIGHT,661.00,224.00,362.00,320.00,341.00,53.28,TURN_RIGHT,0.30,1185
2026-02-03 12:20:18.246,RIGHT,667.00,238.00,391.00,320.00,347.00,54.22,TURN_RIGHT,0.30,1190
2026-02-03 12:20:19.339,RIGHT,664.00,260.00,473.00,320.00,344.00,53.75,TURN_RIGHT,0.30,1195
2026-02-03 12:20:20.462,RIGHT,648.00,254.00,432.00,320.00,328.00,51.25,TURN_RIGHT,0.30,1200
2026-02-03 12:20:21.565,RIGHT,630.50,235.00,385.00,320.00,310.50,48.52,TURN_RIGHT,0.30,1205
2026-02-03 12:20:22.677,"RIGHT,TOP",568.00,328.00,589.00,320.00,248.00,38.75,BACKWARD,0.30,1210
2026-02-03 12:20:23.934,RIGHT,521.50,285.00,350.00,320.00,201.50,31.48,TURN_RIGHT,0.30,1215
2026-02-03 12:20:25.071,NONE,357.00,240.00,298.00,320.00,37.00,5.78,STOP,0.00,1220
2026-02-03 12:20:25.855,NONE,429.50,221.00,321.00,320.00,109.50,17.11,STOP,0.00,1225
2026-02-03 12:20:26.613,RIGHT,470.00,236.00,342.00,320.00,150.00,23.44,TURN_RIGHT,0.30,1230
2026-02-03 12:20:27.735,"RIGHT,TOP",415.50,369.00,463.00,320.00,95.50,14.92,BACKWARD,0.30,1235
2026-02-03 12:20:28.976,"RIGHT,TOP",489.50,327.00,263.00,320.00,169.50,26.48,BACKWARD,0.30,1240
2026-02-03 12:20:30.237,RIGHT,604.50,225.00,218.00,320.00,284.50,44.45,TURN_RIGHT,0.30,1245
