timestamp,fps,frame_time_ms,state,cap_read_ms,process_state_ms,draw_ui_ms,imshow_ms,memory_mb
2026-02-03 12:16:53.723,0.88,1137.12,READY,446.53,259.66,112.51,315.17,221.82
2026-02-03 12:16:53.935,6.17,162.03,READY,2.78,0.79,153.45,2.48,224.79
2026-02-03 12:16:54.094,6.64,150.68,READY,5.34,0.72,141.27,0.64,225.04
2026-02-03 12:16:54.223,8.06,124.12,READY,2.87,1.03,117.22,0.87,225.16
2026-02-03 12:16:54.352,8.10,123.47,READY,2.72,1.02,116.88,0.60,225.16
2026-02-03 12:16:54.600,4.13,242.31,READY,6.12,122.54,108.20,1.20,226.43
2026-02-03 12:16:54.727,8.18,122.21,READY,2.62,0.95,115.41,0.78,226.68
2026-02-03 12:16:54.847,8.69,115.14,READY,2.70,0.67,108.69,0.64,226.81
2026-02-03 12:16:54.963,8.98,111.39,READY,2.60,0.59,105.60,0.60,226.81
2026-02-03 12:16:55.079,9.01,111.01,READY,2.60,0.62,105.12,0.64,226.93
2026-02-03 12:16:55.309,4.44,225.24,READY,11.76,107.39,102.66,0.70,227.06
2026-02-03 12:16:55.437,8.12,123.22,READY,1.99,0.72,117.58,0.61,227.18
2026-02-03 12:16:55.557,8.63,115.91,READY,2.09,1.59,108.77,0.73,227.18
2026-02-03 12:16:55.681,8.39,119.19,READY,2.46,1.65,111.20,0.67,227.18
2026-02-03 12:16:55.805,8.45,118.40,READY,2.53,1.49,110.27,0.65,227.18
2026-02-03 12:16:56.044,4.27,234.07,READY,2.37,121.64,106.58,0.59,228.81
2026-02-03 12:16:56.169,8.30,120.48,READY,1.55,0.60,115.55,0.62,228.93
2026-02-03 12:16:56.294,8.33,120.00,READY,2.64,1.59,111.54,0.70,228.93
2026-02-03 12:16:56.415,8.56,116.76,READY,2.76,1.48,108.40,0.62,228.93
2026-02-03 12:16:56.541,8.29,120.58,READY,11.24,1.12,104.94,0.62,228.93
2026-02-03 12:16:56.779,4.27,234.01,READY,16.81,109.67,104.97,0.59,230.18
2026-02-03 12:16:56.911,7.87,127.05,READY,1.26,1.93,119.52,0.64,230.18
2026-02-03 12:16:57.033,8.53,117.25,READY,2.67,1.61,108.84,0.99,230.18
